"ID","sd_smax","mean_smax","Q25_smax","Q75_smax","mean_op_water","mean_wetland","mean_lakes","mean_local_water","mean_global_water","mean_res_lake_area","areaBasin","mean_aq_factor","mean_texture","mean_slope","sd_altitude","mean_altitude","Q25_altitude","Q75_altitude","mean_sealedArea","mean_Forest","mean_permaglac","mean_Rg_max","ID.1","mean_temp","min_temp","max_temp","sum_prec","min_prec","max_prec","sum_sw","min_sw","max_sw","ID.2","WaterUse","ResArea","wmo_reg","sub_reg","river","station","country","lat","long","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr","corIndex","corArea","corLong","corLat","corGCRC","cont","use","id","HB","koeppen","HB2","koeppen2"
1159131,14.507563683345,49.1059587050735,54,54,0.0343704386014525,0,0.0343704386014525,0.0229239741210377,0.0114464644804148,0,12671.9300842285,70,20,44.1211169680657,110.335760000501,1345.75783849475,1268.5,1419.75,0,0,0,450,1159131,15.7984307508854,8.29188516140322,22.9162848728321,231.937519263996,8.01528301627561,39.9917031568516,2960.67828628921,134.179868333456,356.880151520298,1159131,0.602757054077191,0,1,59,"SAK","WINDHOEK (27814013)","ZA",-31.366111,21.322222,13116,1093,1958,1998,41,7.410462638,NA,NA,NA,NA,1958,1998,41,"1.046","0.032986656","2.514993596",1023561,12671.9300842285,21.37436295,-31.37501975,365494,"af",TRUE,552,7,8,3,2
1159511,34.2589525684477,99.9561200578181,100,130,0.0283298341456848,0,0.0283298341456848,0,0.0283298341456848,0,8020.07537078857,71.0199214832646,22.1661242594176,43.4551816747768,105.085404876507,1443.00104936864,1354,1509.5,0.00151070382586942,0,0,417.549296778551,1159511,16.8276044138817,9.23007858681014,22.6349762617758,641.358395658202,4.35780765240277,104.522934474546,2784.76753492714,160.236158892269,294.649583869574,1159511,0.212099837139612,0,1,59,"VALSRIVIER","MOOIFONTEIN (27817603)","ZA",-27.399722,26.625556,7794,1259,1967,2010,44,1.282542113,NA,NA,NA,NA,1967,2010,44,"3.683","0.116147088","14.90211547",964247,8020.07537078857,26.54102755,-27.37502135,356997,"af",TRUE,361,7,6,3,2
1547300,4.52910813657838,119.487581069448,120,120,0,0,0,0,0,0,6567.0717010498,72.6931297054404,25,33.9096562929418,66.4832107830038,1406.69888821941,1351.75,1448.25,0,0,0,350,1547300,21.2547808948221,17.8505138146983,23.868475309115,1294.94671688223,0,277.558121840256,2893.2835549533,206.408832096138,278.038159219397,1547300,-0.000667573090569417,0,1,47,"LUKULU","KASAMA/LUWINGU ROAD BRIDGE (60773250)","ZM",-10.1833,30.9667,6418,-999,1970,2005,36,2.361229388,NA,NA,NA,NA,1970,2005,36,"66.729","2.104365744","327.884971",708241,6567.0717010498,30.95769245,-10.12502825,289763,"af",TRUE,215,5,15,5,3
1591440,22.0684910502903,124.868197200063,120,120,12.1772366623261,12.1772366623261,0,4.87599718772303,7.3012394746031,0,8654.88555145264,80,26.7253550843777,39.1289434337389,58.2518930769639,1219.88456079872,1173,1263.25,0,0,0,317.110844933552,1591440,21.3595930198178,16.4942535424697,24.408698362569,1194.2997638914,0,294.323964303556,2893.4118526185,215.443447750944,274.526309829239,1591440,0.0152537400796717,0,1,91,"LUSWISHI","KANGONDI (60334340)","ZM",-13.833333,27.366667,8849,-999,1971,2005,35,49.97202462,NA,NA,NA,NA,1971,2005,35,"19.406","0.611987616","69.15895762",763863,8654.88555145264,27.37436055,-13.87502675,304680,"af",TRUE,397,6,15,4,3
1634400,58.9187207300692,127.132713104365,120,183,0.0048966158866802,0,0.0048966158866802,0.0048966158866802,0,0,17167.0402297974,70,20,26.3341156329435,52.139049788952,469.857708476738,434.75,492,0,0,0,450,1634400,25.9234264877475,24.1176067771827,28.6288203953261,1454.13572453342,2.81126594740988,311.019373280088,2743.36160334596,193.910522836391,264.843108394581,1634400,0.210713380430865,0,1,34,"NIGER, RIVER","KOUROUSSA","GN",10.65,-9.8667,18000,-999,1923,2002,80,43.62054681,1923,2009,87,70.20250723,1923,2009,87,"200.566","6.325049376","351.391632",399739,17167.0402297974,-9.79229125,10.62496345,172072,"af",TRUE,628,4,4,4,1
1837255,40.3045884823915,45.9874839529492,13,95,0.536959006580405,0.289956935280353,0.247002071300053,0,0.536959006580405,0,7816.5139541626,66.4351646185136,17.8769833642759,43.8397050116391,167.791663408795,697.928149111303,570,808,0.000541126104584931,0,0,503.075415893103,1837255,24.8908668819364,21.7250049760518,28.4087715618869,1137.01431594935,0,279.300628321611,2867.47202446182,202.553996867022,265.934375532371,1837255,0.00878987093270993,0,1,37,"JAMAARE, RIVER","BUNGA","NG",10.930033,9.60565,7977,473,1964,1998,35,17.41720276,NA,NA,NA,NA,1964,1998,35,"56.962","1.796353632","225.1916299",395024,7816.5139541626,9.62436765,10.95829665,169243,"af",TRUE,341,3,4,3,1
2418700,27.6183216989485,28.941443913952,13,55,0,0,0,0,0,0,8093.29923248291,78.3750500847273,23.3867339342282,51.1082489420626,451.341044897551,1601.14410850153,1233,1948,0.00485242000948206,0,0,382.265321315437,2418700,11.8682570532225,-1.00366033575804,24.7302370501456,290.467564392898,1.00843045583281,61.6807736440762,2356.89501111824,95.6038129619642,293.067920963455,2418700,-2.11547896248527,0,2,18,"KASHAF RUD","OLANGASADI","IR",36.251667,59.645278,8186,914,1972,2013,42,39.53255426,1977,1983,7,15.06849315,1972,2013,42,"0.843","0.026584848","3.247599316",2365917,8093.29923248291,59.70823745,36.29151065,575824,"as",TRUE,366,3,6,3,2
2421400,18.8529489526314,16.0677051175794,13,13,0,0,0,0,0,0,5227.26024627686,64.4859460946257,20.1310985092983,65.9596824701042,593.634684018863,1999.47872300715,1616.75,2369.25,0,0,0.329091129733526,447.378029814035,2421400,10.3840858692491,-3.4740855269469,23.4857083412942,627.824501312641,15.6529769405624,97.6458684094506,2209.19879730999,85.9211728123547,284.311660258594,2421400,2.44605589332588,0,2,21,"SHAHRUD, RUDKHANEH-YE","LOOSHAN","IR",36.623056,49.513333,4882,334,1954,2016,63,6.460587326,1977,1983,7,0,1954,2016,63,"29.948","0.944440128","193.4535289",2348516,5227.26024627686,49.62490815,36.62484385,571791,"as",TRUE,46,2,23,2,4
2421800,40.9798743408286,39.050978375065,6.5,58.5,0,0,0,0,0,0,6858.8741607666,100,23.658475421632,55.5662648876006,558.654883990054,933.244966144032,343,1460,0.000396595096846975,6.93491627980196,0,376.83049156736,2421800,14.5831970055779,1.25076579301908,27.5519960846016,429.726500222267,14.0285598971417,68.4253730513678,2169.93349235772,90.4281108651653,268.046651019554,2421800,8.49444075884047,0,2,21,"GORGAN, RUDKHANEH-YE","GONBAD-KABUS","IR",37.258889,55.153333,5310,36,1955,2016,62,3.240719961,1965,1984,20,28.87029289,1955,2016,62,"7.136","0.225040896","42.38058305",2314023,6858.8741607666,55.20823925,37.29151025,564192,"as",TRUE,242,3,6,3,2
2427200,25.7281144365628,39.2062625877973,6.5,58.5,0.242857710117634,0,0.242857710117634,0.242857710117634,0,0,5819.42524719238,100,27.8236114633122,57.7273647325323,414.969174057442,1056.74821260046,794,1184.5,0.00154737627943106,0,0,293.527770733756,2427200,20.6129797483126,9.25048139579415,31.0452778330803,399.827761903239,0,106.851116711366,2699.71622111239,131.614036622765,314.857260823839,2427200,3.18138759691162,0,2,27,"DALAKI, RUDKHANEH-YE","SAREGHANAT","IR",29.468611,51.2775,5310,119,1961,2015,55,9.846372256,1977,1983,7,0,1961,2015,55,"11.906","0.375467616","70.7095322",2720057,5819.42524719238,51.37490745,29.45818005,654401,"as",TRUE,139,3,5,3,2
